angulo_deg,rssi_dbm
0,-62.581
5,-62.516
10,-60.994
15,-59.987
20,-58.177
25,-57.75
30,-57.628
35,-57.893
40,-58.495
45,-59.7
50,-59.963
55,-59.963
60,-59.963
65,-61.608
70,-65.005
75,-65.776
80,-65.776
85,-65.776
90,-66.099
95,-66.369
100,-66.389
105,-66.426
110,-66.95
115,-66.95
120,-66.95
125,-66.95
130,-66.95
135,-66.95
140,-66.95
145,-66.95
150,-66.95
155,-67.909
160,-70.804
165,-76.772
170,-77.444
175,-77.937
180,-78.962
185,-79.045
190,-77.964
195,-77.964
200,-77.114
205,-74.365
210,-73.865
215,-73.868
220,-73.481
225,-73.28
230,-73.015
235,-72.773
240,-72.215
245,-73.32
250,-74.701
255,-74.8
260,-73.594
265,-73.2
270,-71.217
275,-67.946
280,-66.767
285,-67.142
290,-70.197
295,-76.736
300,-77.135
305,-76.75
310,-78.639
315,-80.409
320,-74.199
325,-70.13
330,-69.851
335,-72.561
340,-79.116
345,-79.125
350,-76.07
355,-68.564
