angulo_deg,rssi_dbm
0,-81.854
5,-81.633
10,-80.4
15,-80.103
20,-80.671
25,-81.151
30,-80.903
35,-80.177
40,-79.733
45,-79.741
50,-81.312
55,-81.3
60,-79.818
65,-77.442
70,-76.736
75,-77.036
80,-79.077
85,-80.854
90,-82.558
95,-79.863
100,-74.702
105,-73.306
110,-72.222
115,-72.222
120,-69.686
125,-69.836
130,-69.354
135,-69.067
140,-69.128
145,-67.578
150,-68.846
155,-69.787
160,-72.394
165,-76.12
170,-82.055
175,-79.938
180,-79.769
185,-77.89
190,-78.703
195,-80.71
200,-80.939
205,-80.939
210,-81.593
215,-82.325
220,-82.845
225,-83.126
230,-83.208
235,-82.612
240,-81.974
245,-82.608
250,-82.747
255,-82.997
260,-82.997
265,-82.997
270,-83.297
275,-82.565
280,-80.187
285,-78.88
290,-78.079
295,-76.419
300,-76.368
305,-76.518
310,-76.622
315,-76.971
320,-77.933
325,-79.025
330,-80.012
335,-81.31
340,-82.764
345,-82.836
350,-81.392
355,-81.653
