angulo_deg,rssi_dbm
0,-74.983
5,-73.531
10,-72.452
15,-73.461
20,-74.212
25,-72.613
30,-68.917
35,-70.226
40,-75.432
45,-75.586
50,-77.642
55,-69.628
60,-65.782
65,-64.856
70,-64.856
75,-64.137
80,-63.933
85,-62.237
90,-61.432
95,-61.432
100,-61.432
105,-61.432
110,-61.432
115,-61.432
120,-61.667
125,-62.877
130,-63.482
135,-63.482
140,-63.482
145,-65.034
150,-66.154
155,-73.012
160,-77.613
165,-78.618
170,-76.673
175,-74.427
180,-73.545
185,-74.681
190,-76.481
195,-77.574
200,-76.679
205,-72.06
210,-70.287
215,-69.852
220,-71.647
225,-75.517
230,-76.007
235,-79.216
240,-75.359
245,-72.143
250,-71.993
255,-70.577
260,-70.022
265,-69.957
270,-70.219
275,-71.726
280,-72.663
285,-73.194
290,-73.097
295,-72.206
300,-72.812
305,-74.578
310,-77.073
315,-79.44
320,-82.123
325,-79.634
330,-75.812
335,-72.444
340,-71.529
345,-72.078
350,-74.385
355,-76.248
