angulo_deg,rssi_dbm
0,-69.508
5,-70.175
10,-68.947
15,-72.148
20,-73.723
25,-78.177
30,-82.236
35,-82.09
40,-79.182
45,-76.576
50,-76.318
55,-73.463
60,-72.224
65,-72.118
70,-72.367
75,-72.414
80,-72.681
85,-72.746
90,-72.748
95,-72.748
100,-72.748
105,-72.748
110,-72.748
115,-72.748
120,-72.79
125,-73.936
130,-73.936
135,-73.936
140,-74.184
145,-76.089
150,-73.943
155,-73.228
160,-72.163
165,-72.051
170,-73.331
175,-73.74
180,-75.082
185,-74.115
190,-72.823
195,-72.993
200,-74.646
205,-76.11
210,-76.019
215,-77.508
220,-78.718
225,-79.489
230,-79.043
235,-73.551
240,-69.832
245,-69.917
250,-69.379
255,-70.368
260,-74.58
265,-77.756
270,-77.977
275,-70.357
280,-67.967
285,-67.392
290,-69.166
295,-70.914
300,-67.196
305,-65.025
310,-60.686
315,-59.8
320,-58.1
325,-57.448
330,-57.156
335,-59.17
340,-60.468
345,-62.992
350,-65.887
355,-68.627
