angulo_deg,rssi_dbm
0,-76.451
5,-78.414
10,-82.893
15,-82.606
20,-78.234
25,-77.194
30,-78.399
35,-80.937
40,-82.315
45,-81.201
50,-79.391
55,-78.45
60,-77.823
65,-78.864
70,-81.232
75,-81.965
80,-83.71
85,-83.931
90,-82.931
95,-78.616
100,-74.16
105,-72.631
110,-71.59
115,-71.337
120,-71.671
125,-72.114
130,-72.422
135,-73.326
140,-73.888
145,-74.087
150,-74.695
155,-74.869
160,-76.141
165,-77.835
170,-81.734
175,-81.647
180,-83.656
185,-79.279
190,-76.957
195,-75.292
200,-76.203
205,-78.249
210,-80.514
215,-79.105
220,-77.594
225,-78.509
230,-79.838
235,-77.448
240,-73.119
245,-72.671
250,-75.916
255,-80.964
260,-77.187
265,-69.931
270,-66.297
275,-62.994
280,-61.308
285,-61.345
290,-60.937
295,-60.851
300,-60.48
305,-60.526
310,-60.563
315,-61.044
320,-63.24
325,-63.405
330,-67.196
335,-70.429
340,-74.485
345,-72.202
350,-72.248
355,-72.671
