angulo_deg,rssi_dbm
0,-72.576
5,-75.097
10,-76.794
15,-78.09
20,-80.463
25,-83.491
30,-84.303
35,-82.994
40,-79.383
45,-76.43
50,-75.093
55,-75.525
60,-78.287
65,-79.494
70,-77.827
75,-75.172
80,-72.019
85,-72.528
90,-73.11
95,-75.956
100,-75.326
105,-72.965
110,-72.19
115,-73.261
120,-77.051
125,-79.634
130,-78.423
135,-71.5
140,-68.868
145,-65.799
150,-62.214
155,-62.188
160,-60.675
165,-60.381
170,-59.424
175,-59.069
180,-58.977
185,-59.109
190,-61.231
195,-63.644
200,-67.839
205,-75.603
210,-78.301
215,-77.011
220,-77.966
225,-80.885
230,-80.368
235,-78.223
240,-76.487
245,-78.132
250,-77.927
255,-80.6
260,-81.314
265,-79.47
270,-77.737
275,-77.105
280,-78.94
285,-79.583
290,-73.909
295,-81.853
300,-82.79
305,-80.39
310,-78.182
315,-75.977
320,-73.684
325,-72.654
330,-72.106
335,-71.8
340,-71.827
345,-72.026
350,-72.215
355,-72.328
