angulo_deg,rssi_dbm
0,-73.016
5,-77.367
10,-81.736
15,-79.165
20,-74.627
25,-72.463
30,-71.609
35,-72.265
40,-73.212
45,-75.176
50,-76.012
55,-75.36
60,-73.876
65,-71.698
70,-70.743
75,-70.148
80,-70.155
85,-70.133
90,-70.263
95,-70.784
100,-70.888
105,-71.668
110,-72.299
115,-73.972
120,-75.628
125,-77.485
130,-80.424
135,-80.799
140,-82.119
145,-82.917
150,-82.925
155,-78.945
160,-75.81
165,-72.835
170,-72.889
175,-74.508
180,-74.372
185,-73.104
190,-71.504
195,-73.288
200,-75.169
205,-75.99
210,-70.715
215,-70.453
220,-77.924
225,-78.832
230,-69.882
235,-66.072
240,-62.772
245,-61.088
250,-59.732
255,-59.096
260,-57.717
265,-57.062
270,-57.026
275,-58.313
280,-59.618
285,-63.141
290,-62.671
295,-67.53
300,-69.475
305,-71.6
310,-73.145
315,-73.477
320,-73.094
325,-74.563
330,-76.543
335,-77.2
340,-75.016
345,-74.062
350,-72.288
355,-73.559
