angulo_deg,rssi_filtrado_prom_dbm,num_muestras,lat_prom_deg,lon_prom_deg
300,-53.624,13,19.5124910,-99.1294088
305,-55.851,14,19.5124904,-99.1294078
310,-56.307,8,19.5124909,-99.1294067
315,-58.744,9,19.5124906,-99.1294075
320,-59.445,2,19.5124904,-99.1294074
325,-66.586,9,19.5124909,-99.1294069
330,-72.384,14,19.5124908,-99.1294073
,,,,
tipo_barrido,SB,,,
sweep_index,2,,,
maximos_candidatos_cfg,3,,,
vecinos_por_lado_cfg,1,,,
semi_yaw_rate_cfg_deg_s,22.5,,,
criterio_aoa,peak_only,,,
source_lat_final_deg,19.5125837,,,
source_lon_final_deg,-99.1295635,,,
source_reason_final,rssi_avg20_ge_-35dbm (-34.951 dBm),,,
AoA_1_deg,300.000,,,
AoA_1_rssi_dbm,-53.624,,,
AoA_1_media_vecinal_dbm,-53.624,,,
AoA_2_deg,305.000,,,
AoA_2_rssi_dbm,-55.851,,,
AoA_2_media_vecinal_dbm,-55.851,,,
AoA_3_deg,310.000,,,
AoA_3_rssi_dbm,-56.307,,,
AoA_3_media_vecinal_dbm,-56.307,,,
AoA_deg,300.000,,,
AoA_enviado_deg,300.000,,,
AoA_rssi_dbm,-53.624,,,
AoA_media_vecinal_dbm,-53.624,,,
beamwidth_deg,10.650,,,
left_3dB_deg,300.000,,,
right_3dB_deg,310.650,,,
